node1	label	node2
P1162	data_type	external-identifier
P1163	data_type	string
P1164	data_type	quantity
P1165	data_type	item
P1167	data_type	external-identifier
P1168	data_type	external-identifier
P1170	data_type	item
P1171	data_type	item
P1172	data_type	external-identifier
P1174	data_type	quantity
P1181	data_type	quantity
P1182	data_type	external-identifier
P1183	data_type	string
P1184	data_type	external-identifier
P1185	data_type	external-identifier
P1186	data_type	external-identifier
P1187	data_type	external-identifier
P1188	data_type	external-identifier
P1189	data_type	external-identifier
P1190	data_type	external-identifier
P1191	data_type	time
P1192	data_type	item
P1193	data_type	quantity
P1194	data_type	item
P1195	data_type	string
P1196	data_type	item
P1198	data_type	quantity
P1199	data_type	item
P1200	data_type	item
P1201	data_type	item
P1202	data_type	item
P1203	data_type	external-identifier
P1204	data_type	item
P1207	data_type	external-identifier
P1208	data_type	external-identifier
P1209	data_type	external-identifier
P1210	data_type	item
P1211	data_type	item
P1212	data_type	external-identifier
P1213	data_type	external-identifier
P1214	data_type	external-identifier
P1215	data_type	quantity
P1216	data_type	external-identifier
P1217	data_type	external-identifier
P1218	data_type	external-identifier
P1219	data_type	external-identifier
P1220	data_type	external-identifier
P1221	data_type	item
P1225	data_type	external-identifier
P1227	data_type	item
P1229	data_type	external-identifier
P1230	data_type	external-identifier
P1232	data_type	external-identifier
P1233	data_type	external-identifier
P1234	data_type	external-identifier
P1235	data_type	external-identifier
P1236	data_type	external-identifier
P1237	data_type	external-identifier
P1238	data_type	external-identifier
P1239	data_type	external-identifier
P1240	data_type	string
P1241	data_type	external-identifier
P1242	data_type	external-identifier
P1243	data_type	external-identifier
P1245	data_type	external-identifier
P1246	data_type	external-identifier
P1247	data_type	quantity
P1248	data_type	external-identifier
P1249	data_type	time
P1250	data_type	external-identifier
P1251	data_type	external-identifier
P1252	data_type	external-identifier
P1253	data_type	external-identifier
P1254	data_type	external-identifier
P1255	data_type	external-identifier
P1256	data_type	external-identifier
P1257	data_type	string
P1258	data_type	external-identifier
P1259	data_type	string
P1260	data_type	external-identifier
P1261	data_type	external-identifier
